Dewatered_Cake_TS_Percent,WetTons,OperatorExpense,MechanicExpense,BaseExpense,TotalLaborExpense,Total_RRnR_OnM_Variable_Expenses,Additional_Expenses,Total_RRR_Variable_Expenses,DryPolymerUse,EmulsionPolymerUse,DryPolymerCost,EmulsionPolymerCost,TotalDryPolymerCost,TotalEmulsionPolymerCost
18,161111.1111,300000,100000,10159200,10559200,7379875,75000,18014075,730670.4203,895091.0631,1769900.036,3544560.61,19783975.04,21558635.61
18.5,156756.7568,300000,100000,10159200,10559200,7180418.919,75000,17814618.92,781042.1857,928864.151,1891915.362,3678302.038,19706534.28,21492920.96
19,152631.5789,200000,100000,10159200,10459200,6991460.526,50000,17500660.53,834886.5355,963911.5465,2022342.315,3817089.724,19523002.84,21317750.25
19.5,148717.9487,200000,100000,10159200,10459200,6812192.308,50000,17321392.31,892442.8667,1000281.331,2161760.786,3961114.072,19483153.09,21282506.38
20,145000,100000,0,10159200,10259200,6641887.5,25000,16926087.5,953967.0798,1038023.401,2310790.642,4110572.668,19236878.14,21036660.17
20.5,141463.4146,100000,0,10159200,10259200,6479890.244,25000,16764090.24,1019732.717,1077189.534,2470094.482,4265670.554,19234184.73,21029760.8
21,138095.2381,0,0,10159200,10159200,6325607.143,0,16484807.14,1090032.179,1117833.462,2640380.587,4426620.509,19125187.73,20911427.65
21.5,134883.7209,0,0,10159200,10159200,6178500,0,16337700,1165178.022,1160010.944,2822406.063,4593643.34,19160106.06,20931343.34
22,131818.1818,0,0,10159200,10159200,6038079.545,0,16197279.55,1245504.353,1203779.845,3016980.213,4766968.185,19214259.76,20964247.73
22.5,128888.8889,0,0,10159200,10159200,5903900,0,16063100,1331368.31,1249200.209,3224968.131,4946832.829,19288068.13,21009932.83
23,126086.9565,0,0,10159200,10159200,5775554.348,0,15934754.35,1423151.65,1296334.35,3447294.55,5133484.027,19382048.9,21068238.38
23.5,123404.2553,0,0,10159200,10159200,5652670.213,0,15811870.21,1521262.453,1345246.931,3684947.954,5327177.847,19496818.17,21139048.06
24,120833.3333,0,0,10159200,10159200,5534906.25,0,15694106.25,1626136.926,1396005.055,3938984.97,5528180.016,19633091.22,21222286.27
